if,then,support,confidence,lift
"knee_r_exam_tenderness_knee, knee_r_diag_oa_knee",knee_r_pain_walking,0.125,0.787878787878788,3.5625823451910414
"knee_r_exam_tenderness_knee, knee_r_diag_oa_knee",knee_r_reason_natural,0.125,0.787878787878788,3.5625823451910414
"knee_r_pain_walking, sex_female",knee_r_reason_natural,0.13942307692307693,0.7837837837837838,3.54406580493537
"knee_r_exam_creps_right, knee_r_pain_walking",knee_r_diag_oa_knee,0.16346153846153846,0.9189189189189189,3.539539539539539
"knee_r_pain_stairclimbing, sex_female",knee_r_pain_walking,0.1346153846153846,0.7777777777777778,3.5169082125603865
"appetite_normal, knee_r_diag_oa_knee",knee_r_reason_natural,0.1346153846153846,0.7777777777777778,3.5169082125603865
"tongue_sama, knee_r_diag_oa_knee",knee_r_reason_natural,0.16826923076923078,0.7777777777777778,3.5169082125603865
knee_l_pain_lowsitting,knee_l_reason_natural,0.13942307692307693,0.8787878787878789,3.5151515151515156
"knee_r_pain_walking, knee_r_reason_natural",knee_r_diag_oa_knee,0.14903846153846154,0.9117647058823529,3.5119825708061
"knee_r_exam_creps_right, knee_r_diag_oa_knee",knee_r_pain_walking,0.16346153846153846,0.7727272727272727,3.4940711462450595
"knee_l_pain_stairclimbing, knee_l_reason_natural",knee_l_pain_walking,0.13942307692307693,0.90625,3.4907407407407405
"knee_l_pain_lowsitting, knee_l_duration_val",knee_l_pain_walking,0.1346153846153846,0.9032258064516129,3.4790919952210273
"knee_r_pain_stairclimbing, knee_r_reason_natural",knee_r_diag_oa_knee,0.1346153846153846,0.9032258064516129,3.4790919952210273
"knee_r_pain_stairclimbing, knee_r_duration_val",knee_r_pain_walking,0.14423076923076922,0.7692307692307692,3.4782608695652173
"knee_r_pain_stairclimbing, knee_r_duration_val",knee_r_reason_natural,0.14423076923076922,0.7692307692307692,3.4782608695652173
"medication_none, knee_l_duration_val",knee_l_pain_walking,0.12980769230769232,0.9000000000000001,3.466666666666667
"medication_none, knee_l_duration_val",knee_l_reason_natural,0.125,0.8666666666666667,3.466666666666667
"knee_r_pain_stairclimbing, urine_normal",knee_r_reason_natural,0.125,0.7647058823529411,3.4578005115089514
