if,then,support,confidence,lift
"knee_l_diag_oa_knee, urine_normal","knee_present, knee_r_diag_oa_knee",0.1258741258741259,0.8571428571428572,4.53968253968254
knee_l_diag_oa_knee,knee_r_diag_oa_knee,0.16083916083916083,0.8518518518518519,4.5116598079561046
knee_r_diag_oa_knee,knee_l_diag_oa_knee,0.16083916083916083,0.8518518518518519,4.5116598079561046
"tongue_sama, knee_l_morning_stiffness",knee_r_morning_stiffness,0.16083916083916083,0.8518518518518519,4.5116598079561046
knee_r_morning_stiffness,"tongue_sama, knee_l_morning_stiffness",0.16083916083916083,0.8518518518518519,4.5116598079561046
knee_l_diag_oa_knee,"knee_present, knee_r_diag_oa_knee",0.16083916083916083,0.8518518518518519,4.5116598079561046
knee_r_diag_oa_knee,"knee_l_diag_oa_knee, knee_present",0.16083916083916083,0.8518518518518519,4.5116598079561046
"tongue_sama, knee_l_morning_stiffness","knee_r_morning_stiffness, knee_present",0.16083916083916083,0.8518518518518519,4.5116598079561046
knee_l_morning_stiffness_duration,"knee_l_morning_stiffness, sex_female",0.1258741258741259,0.8181818181818182,4.5
"knee_r_duration_val, surgery_other_duration_days","knee_l_duration_val, surgery_other",0.1258741258741259,0.8181818181818182,4.5
knee_l_morning_stiffness,knee_r_morning_stiffness,0.1888111888111888,0.84375,4.46875
knee_l_morning_stiffness,"knee_r_morning_stiffness, knee_present",0.1888111888111888,0.84375,4.46875
knee_l_morning_stiffness,"knee_r_morning_stiffness, medication_ongoing",0.17482517482517482,0.78125,4.46875
knee_r_morning_stiffness,"knee_l_morning_stiffness, medication_ongoing",0.17482517482517482,0.9259259259259259,4.41358024691358
"knee_r_morning_stiffness, tongue_sama","knee_l_morning_stiffness, sex_female",0.1258741258741259,0.7826086956521741,4.304347826086957
"knee_r_duration_val, knee_r_exam_rom","knee_l_exam_rom, knee_l_exam_tenderness_knee",0.1258741258741259,0.75,4.29
knee_r_morning_stiffness,"knee_l_morning_stiffness, sex_female",0.14685314685314685,0.7777777777777778,4.277777777777778
"knee_l_duration_val, knee_r_exam_rom",knee_l_exam_rom,0.13986013986013987,0.9523809523809524,4.255952380952381
"knee_l_duration_val, knee_r_exam_rom","knee_l_exam_rom, knee_present",0.13986013986013987,0.9523809523809524,4.255952380952381
"knee_r_duration_val, knee_r_exam_rom","knee_l_exam_rom, knee_l_duration_val",0.13986013986013987,0.8333333333333334,4.255952380952381
"knee_l_exam_tenderness_knee, knee_r_exam_rom",knee_l_exam_rom,0.1258741258741259,0.9473684210526316,4.233552631578948
"knee_l_exam_tenderness_knee, knee_r_exam_rom","knee_l_exam_rom, knee_present",0.1258741258741259,0.9473684210526316,4.233552631578948
"knee_l_duration_val, knee_r_exam_rom","knee_l_exam_rom, medication_ongoing",0.1258741258741259,0.8571428571428572,4.226600985221675
"knee_l_duration_val, knee_r_exam_creps_right","knee_l_exam_creps_left, knee_r_duration_val",0.20279720279720279,0.935483870967742,4.180443548387097
"knee_l_exam_creps_left, knee_r_duration_val","knee_l_duration_val, knee_r_exam_creps_right",0.20279720279720279,0.90625,4.180443548387097
hypertension_duration_days,"stool_satisfactory, hypertension",0.1258741258741259,0.75,4.125
"knee_l_exam_rom, knee_r_duration_val","knee_l_duration_val, knee_r_exam_tenderness_knee",0.1258741258741259,0.75,4.125
"knee_l_exam_rom, knee_r_exam_creps_right","knee_l_exam_creps_left, knee_l_duration_val",0.13286713286713286,0.9047619047619048,4.043154761904762
"knee_l_exam_rom, knee_r_exam_creps_right","knee_l_exam_creps_left, knee_r_duration_val",0.13286713286713286,0.9047619047619048,4.043154761904762
"knee_r_exam_rom, knee_r_exam_creps_right","knee_l_exam_creps_left, knee_r_duration_val",0.13286713286713286,0.9047619047619048,4.043154761904762
"knee_l_exam_rom, knee_r_exam_rom","knee_r_duration_val, knee_l_exam_tenderness_knee",0.1258741258741259,0.8181818181818182,4.03448275862069
"knee_r_exam_rom, sex_female",knee_l_exam_rom,0.1258741258741259,0.9,4.0218750000000005
"knee_r_exam_rom, sex_female","knee_l_exam_rom, knee_present",0.1258741258741259,0.9,4.0218750000000005
"lumbar_exam_tenderness, stool_unsatisfactory","acidity, lumbar_present",0.1258741258741259,0.9,4.0218750000000005
"knee_r_exam_rom, medication_ongoing","knee_l_exam_rom, knee_l_duration_val",0.1258741258741259,0.7826086956521741,3.9968944099378887
"knee_l_exam_rom, knee_r_duration_val","knee_l_duration_val, knee_l_exam_tenderness_knee",0.13986013986013987,0.8333333333333334,3.9722222222222223
"knee_r_duration_val, knee_r_exam_rom","knee_l_exam_rom, sex_female",0.1258741258741259,0.75,3.9722222222222223
"knee_l_exam_creps_left, knee_r_exam_tenderness_knee","knee_l_exam_tenderness_knee, knee_r_exam_creps_right",0.17482517482517482,0.8333333333333333,3.972222222222222
"knee_l_exam_tenderness_knee, knee_r_exam_creps_right","knee_l_exam_creps_left, knee_r_exam_tenderness_knee",0.17482517482517482,0.8333333333333333,3.972222222222222
knee_l_exam_swelling_non_pitting,"tongue_sama, knee_l_exam_tenderness_knee",0.1258741258741259,0.8571428571428572,3.9539170506912447
knee_r_exam_rom,"knee_l_exam_rom, knee_l_duration_val",0.13986013986013987,0.7692307692307693,3.928571428571429
"knee_l_exam_creps_left, knee_l_duration_val","knee_r_duration_val, knee_r_exam_creps_right",0.20279720279720279,0.90625,3.927083333333333
"knee_r_duration_val, knee_r_exam_creps_right","knee_l_exam_creps_left, knee_l_duration_val",0.20279720279720279,0.8787878787878787,3.927083333333333
"knee_l_exam_creps_left, stool_unsatisfactory","tongue_sama, knee_r_exam_creps_right",0.13286713286713286,0.9047619047619048,3.9206349206349205
"knee_l_exam_creps_left, knee_r_exam_rom","knee_r_duration_val, knee_r_exam_creps_right",0.13286713286713286,0.9047619047619048,3.9206349206349205
"knee_r_duration_val, knee_r_exam_rom",knee_l_exam_rom,0.14685314685314685,0.8749999999999999,3.9101562499999996
"knee_r_duration_val, knee_r_exam_rom","knee_l_exam_rom, knee_present",0.14685314685314685,0.8749999999999999,3.9101562499999996
"knee_r_duration_val, knee_r_exam_rom","knee_l_exam_rom, medication_ongoing",0.13286713286713286,0.7916666666666666,3.903735632183908
