if_symptom,then_suggest,support,confidence,lift
"medication_ongoing, knee_present, knee_l_duration_val, knee_l_diag_oa_knee","knee_r_duration_val, knee_r_diag_oa_knee",0.11888111888111888,0.9444444444444443,6.752777777777776
"knee_l_exam_creps_left, knee_r_diag_oa_knee, knee_present","knee_r_exam_creps_right, knee_l_diag_oa_knee",0.11888111888111888,0.8947368421052632,6.734072022160665
"tongue_sama, knee_l_morning_stiffness_duration, knee_present","knee_r_morning_stiffness_duration, knee_r_morning_stiffness",0.11188811188811189,0.9411764705882353,6.7294117647058815
"tongue_sama, knee_l_duration_val, knee_present, knee_l_diag_oa_knee","knee_r_duration_val, knee_r_diag_oa_knee",0.1048951048951049,0.9375,6.703124999999999
"medication_ongoing, knee_l_exam_swelling_non_pitting","knee_r_exam_swelling_non_pitting, knee_present",0.11188811188811189,0.8421052631578948,6.690058479532164
"tongue_sama, knee_r_exam_swelling_non_pitting","medication_ongoing, knee_l_exam_swelling_non_pitting",0.11188811188811189,0.8888888888888888,6.690058479532164
"knee_r_exam_creps_right, knee_r_duration_val, knee_r_diag_oa_knee","knee_l_duration_val, knee_l_diag_oa_knee",0.1048951048951049,0.8823529411764706,6.640866873065016
"knee_l_exam_tenderness_knee, knee_r_duration_val, knee_present, knee_r_exam_rom","knee_l_duration_val, knee_r_exam_tenderness_knee, knee_l_exam_rom",0.1048951048951049,0.8333333333333333,6.620370370370369
"knee_r_morning_stiffness_duration, sex_female, knee_present, knee_r_morning_stiffness",knee_l_morning_stiffness_duration,0.11188811188811189,1.0,6.5
knee_l_morning_stiffness_duration,"knee_r_morning_stiffness_duration, knee_r_morning_stiffness",0.13986013986013987,0.9090909090909091,6.499999999999999
"knee_present, knee_l_exam_swelling_non_pitting",knee_r_exam_swelling_non_pitting,0.11888111888111888,0.8095238095238095,6.43121693121693
"tongue_sama, knee_r_exam_swelling_non_pitting","knee_present, knee_l_exam_swelling_non_pitting",0.11888111888111888,0.9444444444444443,6.43121693121693
"knee_l_duration_val, knee_present, knee_r_exam_rom, knee_l_exam_creps_left, knee_r_duration_val","knee_r_exam_creps_right, knee_l_exam_rom",0.11188811188811189,0.9411764705882353,6.408963585434174
"knee_r_morning_stiffness_duration, knee_r_morning_stiffness","knee_l_morning_stiffness_duration, knee_l_duration_val",0.11888111888111888,0.85,6.397368421052631
"knee_l_duration_val, medication_ongoing, knee_l_morning_stiffness, knee_l_morning_stiffness_duration","knee_r_morning_stiffness_duration, knee_present",0.11888111888111888,0.8947368421052632,6.397368421052631
"knee_l_exam_creps_left, sex_female, knee_r_exam_rom","knee_r_exam_creps_right, knee_l_exam_rom",0.1048951048951049,0.9375,6.383928571428572
"knee_l_morning_stiffness_duration, sex_female","knee_r_morning_stiffness_duration, knee_present, knee_r_morning_stiffness",0.11188811188811189,0.8888888888888888,6.355555555555554
"knee_r_exam_tenderness_knee, knee_l_exam_rom","knee_l_exam_tenderness_knee, knee_present, knee_r_exam_rom",0.11188811188811189,0.8421052631578948,6.337950138504156
"knee_r_exam_creps_right, knee_l_duration_val, knee_r_exam_rom, knee_l_exam_creps_left","knee_r_duration_val, sex_female, knee_l_exam_rom",0.1048951048951049,0.8823529411764706,6.3088235294117645
"knee_r_duration_val, knee_l_diag_oa_knee","knee_l_exam_creps_left, knee_r_diag_oa_knee, knee_present",0.1048951048951049,0.8333333333333333,6.271929824561403
"tongue_sama, knee_r_duration_val, sex_female, knee_l_morning_stiffness","knee_l_duration_val, knee_r_morning_stiffness",0.1048951048951049,1.0,6.217391304347826
